iter	Passed	Remaining
217	387	1389
218	388	1384
219	389	1380
220	390	1376
221	391	1371
222	392	1367
223	393	1362
224	394	1357
225	395	1353
226	396	1348
227	397	1344
228	398	1340
229	400	1340
230	401	1336
231	402	1332
232	403	1327
233	404	1323
234	405	1319
235	406	1316
236	407	1312
237	408	1307
238	409	1303
239	410	1298
240	411	1294
241	411	1290
242	413	1288
243	415	1285
244	416	1282
245	417	1278
246	418	1275
247	419	1271
248	420	1267
249	421	1263
250	422	1259
251	423	1256
252	424	1252
253	424	1248
254	425	1244
255	427	1240
256	429	1241
257	430	1237
258	431	1234
259	432	1230
260	433	1227
261	434	1223
262	435	1221
263	436	1218
264	437	1214
265	438	1210
266	439	1207
267	440	1203
268	441	1200
269	443	1200
270	445	1197
271	446	1194
272	447	1191
273	448	1188
274	449	1186
275	451	1183
276	451	1179
277	453	1176
278	454	1173
279	454	1169
280	455	1166
281	458	1166
282	459	1164
283	460	1161
284	461	1158
285	462	1154
286	463	1151
287	464	1149
288	465	1145
289	466	1142
290	467	1139
291	468	1136
292	469	1133
293	470	1130
294	472	1128
295	473	1126
296	474	1123
297	475	1120
298	476	1117
299	477	1114
300	478	1111
301	479	1109
302	480	1106
303	481	1103
304	482	1100
305	483	1097
306	484	1094
307	485	1091
308	488	1092
309	489	1089
310	490	1086
311	491	1083
312	492	1080
313	493	1077
314	494	1075
315	495	1072
316	496	1069
317	497	1066
318	498	1064
319	499	1061
320	500	1058
321	501	1056
322	503	1054
323	504	1051
324	505	1049
325	506	1046
326	507	1044
327	508	1042
328	509	1039
329	510	1036
330	511	1034
331	512	1031
332	513	1028
333	514	1025
334	516	1024
335	517	1023
336	518	1020
337	519	1018
338	520	1015
339	521	1013
340	523	1011
341	524	1008
342	525	1006
343	526	1003
344	527	1000
345	528	998
346	529	995
347	530	993
348	531	991
349	532	989
350	533	986
351	534	984
352	535	981
353	536	979
354	538	977
355	538	975
356	539	972
357	540	969
358	541	967
359	542	964
360	543	962
361	545	960
362	546	959
363	547	956
364	548	955
365	549	952
366	551	950
367	551	947
368	553	946
369	554	943
370	555	941
371	556	939
372	557	936
373	558	934
374	559	932
375	561	931
376	562	928
377	563	926
378	564	924
379	565	922
380	566	920
381	568	919
382	568	916
383	569	914
384	570	911
385	571	909
386	572	907
387	573	904
388	575	904
389	577	902
390	578	900
391	579	898
392	580	895
393	581	893
394	582	892
395	583	889
396	584	887
397	585	885
398	586	882
399	587	880
400	588	878
401	589	877
402	590	875
403	592	873
404	592	871
405	594	869
406	594	866
407	595	864
408	597	862
409	598	860
410	599	858
411	599	856
412	600	854
413	601	851
414	602	849
415	604	848
416	605	847
417	606	845
418	607	843
419	608	840
420	609	838
421	610	836
422	612	834
423	613	832
424	613	830
425	614	828
426	615	826
427	616	824
428	617	822
429	619	821
430	620	819
431	621	817
432	622	815
433	623	813
434	624	811
435	626	809
436	627	807
437	628	806
438	629	803
439	630	801
440	630	799
441	631	797
442	633	796
443	634	794
444	635	792
445	636	791
446	637	789
447	638	787
448	639	785
449	641	783
450	642	781
451	643	779
452	644	778
453	645	776
454	646	774
455	647	772
456	649	771
457	650	769
458	651	767
459	652	765
460	653	763
461	654	761
462	655	759
463	656	757
464	657	756
465	658	754
466	658	752
467	659	750
468	660	748
469	662	746
470	664	745
471	665	744
472	666	742
